vendor,name,maintainers,removable battery,release,screen,models,RAM,storage,SOC,Wiki Link
yandex,Phone,2,no,2018-12,5.65,,4 GB,64 GB,Qualcomm SDM630 Snapdragon 630,https://wiki.lineageos.org/devices/Amber
asus,Zenfone 6 (ZS630KL),2,no,2019-05-16,6.4,,6/8 GB,64/128/256 GB UFS2.1,Qualcomm sm8150 Snapdragon 855,https://wiki.lineageos.org/devices/I01WD
asus,Zenfone Max Pro M1,1,no,2018-05,5.99,,3/4/6 GB,64 GB,Qualcomm SDM636 Snapdragon 636,https://wiki.lineageos.org/devices/X00TD
lenovo,Yoga Tab 3 Plus Wi-Fi,2,no,2016-12,10.1,YTX703F,3 GB,32 GB,Qualcomm APQ8076 Snapdragon 652,https://wiki.lineageos.org/devices/YTX703F
lenovo,Yoga Tab 3 Plus LTE,2,no,2016-12,10.1,"YTX703L,YTX703X",3 GB,32 GB,Qualcomm MSM8976 Snapdragon 652,https://wiki.lineageos.org/devices/YTX703L
samsung,Galaxy A5 (2017),2,no,2017-01-02,5.2,"SM-A520F,SM-A520F/DS,SM-A520W",3 GB,32/64 GB,Samsung Exynos 7880,https://wiki.lineageos.org/devices/a5y17lte
samsung,Galaxy A7 (2017),2,no,2017-01-02,5.2,"SM-A720F,SM-A720F/DS",3 GB,32/64 GB,Samsung Exynos 7880,https://wiki.lineageos.org/devices/a7y17lte
oneplus,One,2,no,2014-06-06,5.5,,3 GB,16/64 GB,Qualcomm MSM8974AC Snapdragon 801,https://wiki.lineageos.org/devices/bacon
bq,Aquaris X,3,no,2017-06,5.2,,3/4 GB LPDDR3,32/64 GB,Qualcomm MSM8953 Pro Snapdragon 626,https://wiki.lineageos.org/devices/bardock
bq,Aquaris X Pro,2,no,2017-06,5.2,,3/4 GB LPDDR3,32/64/128 GB,Qualcomm MSM8953 Pro Snapdragon 626,https://wiki.lineageos.org/devices/bardockpro
huawei,Honor View 10,1,no,2018-01,5.99,"BKL-AL00,BKL-AL10,BKL-AL20,BKL-L09,BKL-TL10,BKL-TL20",4/6 GB,64/128 GB,HiSilicon Kirin 970,https://wiki.lineageos.org/devices/berkeley
xiaomi,Poco F1,2,no,2018-08,6.18,,6/8 GB LPDDR4X,64/128/256 GB UFS2.1,Qualcomm SDM845 Snapdragon 845,https://wiki.lineageos.org/devices/beryllium
xiaomi,Mi 5s,1,no,2016-10,5.15,,3/4 GB LPDDR4,32/64/128 GB UFS 2.0,Qualcomm MSM8996 Pro Snapdragon 821,https://wiki.lineageos.org/devices/capricorn
huawei,P20 Pro,1,no,2018-04,6.1,"CLT-AL00,CLT-AL01,CLT-L04,CLT-L09,CLT-L29,CLT-TL00,CLT-TL01",6/8 GB,128/256 GB,HiSilicon Kirin 970,https://wiki.lineageos.org/devices/charlotte
oneplus,5,5,no,2017-06,5.5,,6/8 GB,64/128 GB UFS 2.1 2-LANE,Qualcomm MSM8998 Snapdragon 835,https://wiki.lineageos.org/devices/cheeseburger
razer,Phone,2,no,2017-11,5.7,,8 GB,64 GB,Qualcomm MSM8998 Snapdragon 835,https://wiki.lineageos.org/devices/cheryl
xiaomi,Mi MIX 2,2,no,2017-09,5.99,,6/8 GB,64/128/256 GB,Qualcomm MSM8998 Snapdragon 835,https://wiki.lineageos.org/devices/chiron
lge,G3 (AT&T),2,yes,2014-06,5.5,,2/3 GB,16/32 GB,Qualcomm MSM8974AC Snapdragon 801,https://wiki.lineageos.org/devices/d850
lge,G3 (T-Mobile),2,yes,2014-06,5.5,,2/3 GB,16/32 GB,Qualcomm MSM8974AC Snapdragon 801,https://wiki.lineageos.org/devices/d851
lge,G3 (Canada),2,yes,2014-06,5.5,,2/3 GB,16/32 GB,Qualcomm MSM8974AC Snapdragon 801,https://wiki.lineageos.org/devices/d852
lge,G3 (International),2,yes,2014-06,5.5,,2/3 GB,16/32 GB,Qualcomm MSM8974AC Snapdragon 801,https://wiki.lineageos.org/devices/d855
xiaomi,Mi 8,1,no,2018-07,6.21,,6/8 GB LPDDR4X,64/128/256 GB UFS2.1,Qualcomm SDM845 Snapdragon 845,https://wiki.lineageos.org/devices/dipper
sony,Xperia XA2 Ultra,1,no,2018-02,6,"H3213,H4213,H4233,H3223",4 GB,32 GB,Qualcomm SDM630 Snapdragon 630,https://wiki.lineageos.org/devices/discovery
oneplus,5T,2,no,2017-11,6.01,,6/8 GB,64/128 GB UFS 2.1 2-LANE,Qualcomm MSM8998 Snapdragon 835,https://wiki.lineageos.org/devices/dumpling
oneplus,6,2,no,2018-04,6.28,,6/8 GB LPDDR4X,64/128/256 GB UFS2.1,Qualcomm SDM845 Snapdragon 845,https://wiki.lineageos.org/devices/enchilada
nextbit,Robin,3,no,2016-02,5.2,,3 GB,32 GB,Qualcomm MSM8992 Snapdragon 808,https://wiki.lineageos.org/devices/ether
lge,G3 (Korea),2,yes,2014-06,5.5,,3 GB,16/32 GB,Qualcomm MSM8974AC Snapdragon 801,https://wiki.lineageos.org/devices/f400
oneplus,6T,1,no,2018-11,6.41,,6/8 GB LPDDR4X,128/256 GB UFS2.1,Qualcomm SDM845 Snapdragon 845,https://wiki.lineageos.org/devices/fajita
oppo,Find 7a/s,1,"{'Find 7a': {'removable': True, 'capacity': 2800, 'tech': 'Li-Po', 'fastcharge': True}} {'Find 7s': {'removable': True, 'capacity': 3000, 'tech': 'Li-Po', 'fastcharge': True}}","[{'Find 7a': datetime.date(2014, 3, 19)}, {'Find 7s': datetime.date(2014, 5, 19)}]",5.5,"Find 7a,Find 7s",2/3 GB,16/32 GB,Qualcomm MSM8974AB/MSM8974AC Snapdragon 801,https://wiki.lineageos.org/devices/find7
xiaomi,Mi 5,3,no,2016-04,5.15,,3 GB LPDDR4 (Standard and Pro editions) / 4 GB LPDDR4 (Exclusive edition),32 GB UFS2.0 (Standard edition) / 64 GB UFS2.0 (Pro edition) / 128 GB UFS2.0 (Exclusive edition),Qualcomm MSM8996 Snapdragon 820,https://wiki.lineageos.org/devices/gemini
motorola,Moto Z,5,no,2016-09,5.5,"XT1650-03,XT1650-05",4 GB,32/64 GB,Qualcomm MSM8996 Snapdragon 820,https://wiki.lineageos.org/devices/griffin
